"accession","length","type","disease","genome_region","host","country","isolation","collection_date","release_date","name"
"AB608789","10677","1","","UTR5-C-M-E-NS1-NS2A-NS2B-NS3-NS4A-2K-NS4B-NS5-UTR3","Homo sapiens","Taiwan","","1994","2013/07/13","Dengue virus 1 gene for polyprotein, complete cds, strain: 360052"
"AB608788","10693","1","","C-M-E-NS1-NS2A-NS2B-NS3-NS4A-2K-NS4B-NS5-UTR3","Homo sapiens","Taiwan","","1994","2013/07/13","Dengue virus 1 gene for polyprotein, complete cds, strain: 832"
"AB608786","10749","1","","UTR5-C-M-E-NS1-NS2A-NS2B-NS3-NS4A-2K-NS4B-NS5-UTR3","Homo sapiens","Taiwan","","2008","2013/07/13","Dengue virus 1 gene for polyprotein, complete cds, strain: NDF30"
"AB608787","10749","1","","UTR5-C-M-E-NS1-NS2A-NS2B-NS3-NS4A-2K-NS4B-NS5-UTR3","Homo sapiens","Taiwan","","2008","2013/07/13","Dengue virus 1 gene for polyprotein, complete cds, strain: SDDF1543"
"AB519681","10735","1","","UTR5-C-M-E-NS1-NS2A-NS2B-NS3-NS4A-2K-NS4B-NS5-UTR3","","Brazil","","2001","2009/09/04","Dengue virus 1 genomic RNA, complete genome, isolate: SB 01057805 (DF02)"
"AB189120","10735","1","DHF","UTR5-C-M-E-NS1-NS2A-NS2B-NS3-NS4A-2K-NS4B-NS5-UTR3","Homo sapiens","Indonesia","","1998","2004/09/02","Dengue virus 1 genomic RNA, complete genome, strain: 98901518 DHF DV-1"
"AB189121","10735","1","DF","UTR5-C-M-E-NS1-NS2A-NS2B-NS3-NS4A-2K-NS4B-NS5-UTR3","Homo sapiens","Indonesia","","1998","2004/09/02","Dengue virus 1 genomic RNA, complete genome, strain: 98901530 DF DV-1"
"AB195673","10718","1","","UTR5-C-M-E-NS1-NS2A-NS2B-NS3-NS4A-2K-NS4B-NS5-UTR3","Homo sapiens","Japan","","2003","2004/12/01","Dengue virus 1 genomic RNA, complete genome, strain: D1/hu/Seychelles/NIID41/2003"
"AB204803","10706","1","","UTR5-C-M-E-NS1-NS2A-NS2B-NS3-NS4A-2K-NS4B-NS5-UTR3","Homo sapiens","Japan","","2004","2005/09/17","Dengue virus 1 genomic RNA, complete genome, strain: D1/hu/Yap/NIID27/2004"
"LC011948","10693","1","","UTR5-C-M-E-NS1-NS2A-NS2B-NS3-NS4A-2K-NS4B-NS5-UTR3","Homo sapiens","Japan","blood","2014/09","2014/12/04","Dengue virus 1 genomic RNA, complete sequence, strain: D1/Hu/Chiba/NIID153/2014"
"LC016760","10693","1","","UTR5-C-M-E-NS1-NS2A-NS2B-NS3-NS4A-2K-NS4B-NS5-UTR3","Homo sapiens","Japan","blood","2014/09/28","2014/12/27","Dengue virus 1 genomic RNA, complete sequence, strain: D1/Hu/Hyogo/NIID188/2014"
"LC128301","10693","1","","UTR5-C-M-E-NS1-NS2A-NS2B-NS3-NS4A-2K-NS4B-NS5-UTR3","Homo sapiens","Philippines","blood","2016/01","2016/02/26","Dengue virus 1 genomic RNA, complete sequence, strain: D1/Hu/Philippines/NIID13/2016"
"LC011945","10693","1","","UTR5-C-M-E-NS1-NS2A-NS2B-NS3-NS4A-2K-NS4B-NS5-UTR3","Homo sapiens","Japan","blood","2014/08/20","2014/12/04","Dengue virus 1 genomic RNA, complete sequence, strain: D1/Hu/Saitama/NIID100/2014"
"LC011949","10693","1","","UTR5-C-M-E-NS1-NS2A-NS2B-NS3-NS4A-2K-NS4B-NS5-UTR3","Homo sapiens","Japan","blood","2014/09","2014/12/04","Dengue virus 1 genomic RNA, complete sequence, strain: D1/Hu/Shizuoka/NIID181/2014"
"HM469966","10735","1","","UTR5-C-M-E-NS1-NS2A-NS2B-NS3-NS4A-2K-NS4B-NS5-UTR3","Homo sapiens","Thailand","","2007/07/27","2011/12/21","Dengue virus 1 isolate 01096/07, complete genome"
"JX669462","10737","1","","UTR5-C-M-E-NS1-NS2A-NS2B-NS3-NS4A-2K-NS4B-NS5-UTR3","Homo sapiens","Brazil","","2010","2013/10/11","Dengue virus 1 isolate 12898/BR-PE/10, complete genome"
"JX669463","10735","1","","UTR5-C-M-E-NS1-NS2A-NS2B-NS3-NS4A-2K-NS4B-NS5-UTR3","Homo sapiens","Brazil","","2010","2013/10/11","Dengue virus 1 isolate 13501/BR-PE/10, complete genome"
"JX669464","10736","1","","UTR5-C-M-E-NS1-NS2A-NS2B-NS3-NS4A-2K-NS4B-NS5-UTR3","Homo sapiens","Brazil","","2010","2013/10/11","Dengue virus 1 isolate 13671/BR-PE/10, complete genome"
